"","id","abstract","title","included_ats","included_final"
"1",9495,"Post-Traumatic Stress Disorder (PTSD) is a common and severe psychiatric disorder precipitated by exposure to a psychologically distressing event. PTSD is associated with significant morbidity and mortality and is characterized by the presence of three distinct, but co-occurring, symptom clusters. Research evidence suggests that PTSD has a neurobiological basis. Current research on the neurobiology of PTSD include the utilization of functional brain imaging molecular genetic research; the incorporation of cross-system research including neuroendocrine, neurochemical, and neuroimmunological systems. This book examines the neurobiological basis of PTSD and the future research goals in regards to these findings. © 2010 by Nova Science Publishers, Inc. All rights reserved.","neurobiology of post-traumatic stress disorder",0,0
"2",969,"Post-Traumatic Stress Disorder (PTSD) is a common and severe psychiatric disorder precipitated by exposure to a psychologically distressing event. PTSD is associated with significant morbidity and mortality and is characterized by the presence of three distinct, but co-occurring, symptom clusters. Research evidence suggests that PTSD has a neurobiological basis. Current research on the neurobiology of PTSD include the utilization of functional brain imaging; molecular genetic research; the incorporation of cross-system research including neuroendocrine, neurochemical, and neuroimmunological systems. This book examines the neurobiological basis of PTSD and the future research goals in regards to these findings. © 2011 by Nova Science Publishers, Inc. All rights reserved.","neurobiology of post-traumatic stress disorder",0,0
"3",12512,"Post-traumatic stress disorder (PTSD), which is characterized by intrusive memories, marked avoidance of trauma reminders, affective numbing, and hyperarousal following a traumatic experience was introduced into the diagnostic nomenclature in 1980 with the publication by the American Psychiatric Association of DSM-III. Since then, a large body of research on the presentation and treatment of PTSD has been assembled. A number of efficacious cognitive–behavioral therapies (CBTs) are now offered, such as prolonged exposure and cognitive processing therapy (CPT; [3]), and the rates of successful treatment in a variety of populations are improving. Symptoms and diagnostic criteria In the DSM-IV-TR, there are six diagnostic criteria (Criterion A-F) that must be present for a diagnosis of PTSD. First, the individual must have experienced a traumatic event (Criterion A) during which: (1) the person experienced or witnessed an event or events that involved actual threatened death or serious injury, or a threat to the physical integrity of oneself or others; and (2) the person's reaction involved intense fear, helplessness, or horror (in children this may present as agitated or disorganized behavior). Examples of traumatic events include serious threats to life or physical integrity such as military combat, sexual assault, motor vehicle accidents, physical assault, natural or human-made disasters, or witnessing violence or severe human suffering. The symptoms of PTSD are categorized into three clusters in DSM-IV (Criterion B, C, and D): intrusive recollection, avoidance and numbing, and hyperarousal symptoms. © Cambridge University Press 2010.","post-traumatic stress disorder",0,0
"4",9499,"Sleep disturbances are common complaints among patients with posttraumatic stress disorder (PTSD), as well as intrusive recollection, avoidance of disturbing stimuli, difficulty in concentration, and depressive symptoms. Patients with PTSD frequently report difficulty falling or staying asleep and recurrent nightmares related to the traumatic events. These sleep disturbances are part of the diagnostic criteria for PTSD and are included in both the re-experiencing (Criterion B) and increased arousal (Criterion D) symptom cluster in the DSM-IV-TR. Despite these sleep complaints, polysomnographic studies have not provided consistent evidence of sleep disturbances, especially regarding non-rapid eye movement (REM) sleep. However, the characteristic sleep disturbances, in particular the repetitive, stereotypical nightmares may be relatively specific to PTSD. The presence of nightmares in PTSD has been hypothesized as a dysfunction of REM sleep mechanisms and investigators have reported various types of REM sleep abnormalities. Treatment studies also have shown that antidepressants, such as nefazodone, trazodone, fluvoxamine, and image rehearsal therapy are beneficial in the treatment of PTSD-related sleep disturbances as well as core symptoms of this anxiety disorder; however, these sleep disturbances may persist and impair the quality of life in PTSD patients for several decades. It is important, therefore, to understand the characteristics of sleep disturbances in PTSD and these treatments. In this review, we discuss the clinical features and objective findings of sleep disturbances in PTSD and these treatments based on the published literature, including our findings. © 2010 Nova Science Publishers, Inc. All rights reserved.","sleep disturbances in posttraumatic stress disorder",0,0
"5",973,"Sleep disturbances are common complaints among patients with posttraumatic stress disorder (PTSD), as well as intrusive recollection, avoidance of disturbing stimuli, difficulty in concentration, and depressive symptoms. Patients with PTSD frequently report difficulty falling or staying asleep and recurrent nightmares related to the traumatic events. These sleep disturbances are part of the diagnostic criteria for PTSD and are included in both the re-experiencing (Criterion B) and increased arousal (Criterion D) symptom cluster in the DSM-IV-TR. Despite these sleep complaints, polysomnographic studies have not provided consistent evidence of sleep disturbances, especially regarding non-rapid eye movement (REM) sleep. However, the characteristic sleep disturbances, in particular the repetitive, stereotypical nightmares may be relatively specific to PTSD. The presence of nightmares in PTSD has been hypothesized as a dysfunction of REM sleep mechanisms and investigators have reported various types of REM sleep abnormalities. Treatment studies also have shown that antidepressants, such as nefazodone, trazodone, fluvoxamine, and image rehearsal therapy are beneficial in the treatment of PTSD-related sleep disturbances as well as core symptoms of this anxiety disorder; however, these sleep disturbances may persist and impair the quality of life in PTSD patients for several decades. It is important, therefore, to understand the characteristics of sleep disturbances in PTSD and these treatments. In this review, we discuss the clinical features and objective findings of sleep disturbances in PTSD and these treatments based on the published literature, including our findings. © 2011 Nova Science Publishers, Inc.","sleep disturbances in posttraumatic stress disorder",0,0
"6",591,"Much evidence has shown that PTSD is significantly associated with suicidal ideation and suicide attempts. Suicide is an important cause of death in veterans, and the risk for intentional death continues to be high many years after service. Specific PTSD symptoms and specific psychological conditions associated with chronic stress reactions may contribute or mediate the association between PTSD and suicidal behavior. Furthermore, patients with PTSD often have comorbid disorders that may lead to a further increase of risk of suicide in these patients. Research has demonstrated that the magnitude of guilt, cluster B symptoms and comorbid depression were associated with increased suicide risk in PTSD Veterans. For the first time since the Vietnam War, the suicide rate in the military is higher than that in the general population, and so preventive strategies are extremely important to reduce suicide risk in deployed troops. © 2012 by Nova Science Publishers, Inc. All rights reserved.","post traumatic stress disorder and suicidal behavior",0,0
"7",824,"Much evidence has shown that PTSD is significantly associated with suicidal ideation and suicide attempts. Suicide is an important cause of death in veterans, and the risk for intentional death continues to be high many years after service. Specific PTSD symptoms and specific psychological conditions associated with chronic stress reactions may contribute or mediate the association between PTSD and suicidal behavior. Furthermore, patients with PTSD often have comorbid disorders that may lead to a further increase of risk of suicide in these patients. Research has demonstrated that the magnitude of guilt, cluster B symptoms and comorbid depression were associated with increased suicide risk in PTSD Veterans. For the first time since the Vietnam War, the suicide rate in the military is higher than that in the general population, and so preventive strategies are extremely important to reduce suicide risk in deployed troops. © 2009 Nova Science Publishers, Inc. All rights reserved.","post traumatic stress disorder and suicidal behavior",0,0
"8",13065,"Women have a higher susceptibility than men to a set of psychosocial factors that have been linked to increased risk of ischemic heart disease (IHD), such as depression, early life adversities, and posttraumatic stress disorder (PTSD). In this chapter we discuss the notion that these psychosocial risk factors, particularly if they are present at young age, may set a trajectory of increased IHD risk in women, even though clinical events may occur years later. Emerging data suggest that young women are uniquely susceptible to the adverse cardiovascular effects psychosocial stress, which can result in earlier onset of IHD or more adverse prognosis if the disease is already manifest. Women’s vulnerability to psychosocial stress could also play a role in sex differences in the pathophysiology of IHD; for example it could help explain their higher propensity to abnormal coronary vasomotion and micro-vascular disease, which has been described in women compared with men. Young women are severely under-represented in studies of cardiovascular disease. In future research, it will be crucial to study women earlier in their life to better understand the risk pathways linking psychosocial stress to IHD risk, in order to devise successful preventive and treatment strategies to ameliorate such risk. © Springer International Publishing Switzerland 2015.","psychosocial risk factors in women: special reference to depression and posttraumatic stress disorder",0,0
"9",2829,"This chapter presents new clinical applications of the prototypic GABAB receptor agonist baclofen for the treatment of addiction by drugs of abuse, such as alcohol, cocaine, nicotine, morphine, and heroin, a novel baclofen prodrug Arbaclofen placarbil, the GABAB receptor agonist AZD3355 (Lesogabaran) currently in Phase 2 clinical trials for the treatment of gastroesophageal reflux disease, and four positive allosteric modulators of GABAB receptors (CGP7930, GS39783, NVP-BHF177, and BHFF), which have less propensity for the development of tolerance due to receptor desensitization than classical GABAB receptor agonists. All four compounds showed anxiolytic affects. In the presence of positive allosteric modulators the ""classical"" GABAB receptor antagonists CGP35348 and 2-hydroxy-saclofen showed properties of partial GABAB receptor agonists. Seven micromolar affinity GABAB receptor antagonists, phaclofen; 2-hydroxy-saclofen; CGP's 35348, 36742, 46381, 51176; and SCH50911, are discussed. CGP36742 (SGS742) showed statistically significant improvements of working memory and attention in a Phase 2 clinical trial in mild, but not in moderate Alzheimer patients. Eight nanomolar affinity GABAB receptor antagonists are presented (CGP's 52432, 54626, 55845, 56433, 56999, 61334, 62349, and 63360) that were used by pharmacologists for numerous in vitro and in vivo investigations. CGP's 36742, 51176, 55845, and 56433 showed antidepressant effects. Several compounds are also available as radioligands, such as [3H]CGP27492, [3H]CGP54626, [3H]CGP5699, and [3H]CGP62349. Three novel fluorescent and three GABAB receptor antagonists with very high specific radioactivity (>2,000Ci/mmol) are presented. [125I]CGP64213 and the photoaffinity ligand [125I]CGP71872 allowed the identification of GABAB1a and GABAB1b receptors in the expression cloning work. (copyright) 2010 Elsevier Inc.","chemistry and pharmacology of gabab receptor ligands",0,0
"10",1651,"The trajectory of posttraumatic stress disorder (PTSD) and PTSD-related symptoms in relation to aging is not well understood. We previously observed higher levels of dissociation as measured by the Dissociative Experiences Scale (DES) among older Holocaust survivors with, compared to those without, PTSD, though scores on the DES in Holocaust survivors were markedly lower than those that had been reported for younger cohorts. We undertook a longitudinal evaluation of dissociation in Holocaust survivors. Twenty-six Holocaust survivors with current PTSD, 30 Holocaust survivors without current PTSD, and 19 nonexposed were evaluated at the initial evaluation and subsequently 8.11 years later. Repeated measures analysis of variance (ANOVA) on the DES scores from these times demonstrated a significant main effect for time and a significant group by time interaction, reflecting a marked decline in Holocaust survivors, particularly those with PTSD. Controlling for age obliterated the effect of time, but not the group by time interaction. A similar pattern was shown with The Clinician Administered PTSD Scale (CAPS) scores. Different symptoms related to PTSD show different trajectories of change with age, with dissociation appearing to be less prominent with age. (copyright) 2006 New York Academy of Sciences.","longitudinal assessment of dissociation in holocaust survivors with and without ptsd and nonexposed aged jewish adults",0,0
