,training_size,allowed_FN,init_included_papers,dataset
0,200,3,10,ptsd
1,200,0,10,ptsd
2,400,4,10,ptsd
3,350,1,15,ptsd
4,300,8,10,ptsd
5,350,6,10,ptsd
6,50,0,15,ptsd
7,100,1,10,ptsd
8,100,6,10,ptsd
9,450,5,10,ptsd
10,50,2,10,ptsd
11,100,8,10,ptsd
12,400,5,10,ptsd
13,300,9,10,ptsd
14,350,7,10,ptsd
15,150,0,15,ptsd
16,200,0,15,ptsd
17,500,6,10,ptsd
18,250,5,10,ptsd
19,250,6,10,ptsd
20,50,0,20,ptsd
21,500,1,20,ptsd
22,200,5,10,ptsd
23,200,2,10,ptsd
24,150,5,10,ptsd
25,450,2,10,ptsd
26,500,8,10,ptsd
27,150,1,20,ptsd
28,150,3,10,ptsd
29,350,4,10,ptsd
30,500,7,10,ptsd
31,50,4,10,ptsd
32,50,9,10,ptsd
33,100,3,10,ptsd
34,100,0,10,ptsd
35,450,3,10,ptsd
36,500,9,10,ptsd
37,100,5,10,ptsd
38,100,1,20,ptsd
39,450,0,15,ptsd
40,500,1,10,ptsd
41,500,1,15,ptsd
42,300,6,10,ptsd
43,350,5,10,ptsd
44,350,8,10,ptsd
45,400,1,20,ptsd
46,350,3,10,ptsd
47,250,4,10,ptsd
48,200,7,10,ptsd
49,200,4,10,ptsd
50,150,0,20,ptsd
51,150,4,10,ptsd
52,250,2,10,ptsd
53,200,1,10,ptsd
54,150,1,10,ptsd
55,150,2,10,ptsd
56,250,1,15,ptsd
57,300,0,20,ptsd
58,50,8,10,ptsd
59,100,2,10,ptsd
60,400,2,10,ptsd
61,450,9,10,ptsd
62,500,0,10,ptsd
63,400,9,10,ptsd
64,500,3,10,ptsd
65,250,3,10,ptsd
66,300,3,10,ptsd
67,300,1,20,ptsd
68,500,5,10,ptsd
69,300,5,10,ptsd
70,400,0,20,ptsd
71,200,6,10,ptsd
72,150,9,10,ptsd
73,50,1,15,ptsd
74,250,0,10,ptsd
75,150,7,10,ptsd
76,450,4,10,ptsd
77,450,1,20,ptsd
78,50,0,10,ptsd
79,400,7,10,ptsd
80,250,0,15,ptsd
81,50,6,10,ptsd
82,400,1,10,ptsd
83,450,8,10,ptsd
84,500,2,10,ptsd
85,450,1,15,ptsd
86,250,1,10,ptsd
87,300,2,10,ptsd
88,50,1,10,ptsd
89,250,7,10,ptsd
90,50,1,20,ptsd
91,300,7,10,ptsd
92,300,4,10,ptsd
93,350,9,10,ptsd
94,200,1,20,ptsd
95,350,0,20,ptsd
96,50,7,10,ptsd
97,350,2,10,ptsd
98,100,0,15,ptsd
99,150,8,10,ptsd
100,200,8,10,ptsd
101,300,1,15,ptsd
102,150,6,10,ptsd
103,350,1,20,ptsd
104,100,0,20,ptsd
105,400,6,10,ptsd
106,400,0,15,ptsd
107,500,0,20,ptsd
108,450,0,10,ptsd
109,400,3,10,ptsd
110,400,0,10,ptsd
111,250,9,10,ptsd
112,200,9,10,ptsd
113,400,8,10,ptsd
114,450,6,10,ptsd
115,400,1,15,ptsd
116,200,0,20,ptsd
117,50,5,10,ptsd
118,250,0,20,ptsd
119,350,0,10,ptsd
120,450,1,10,ptsd
