"","id","abstract","title","included_ats","included_final"
"1",14900,NA,"manual for aseba school-age forms & profiles",0,0
"2",14905,NA,"queensland trauma registry: a summary of paediatric injuries trea- ted in queensland 2005",0,0
"3",14743,NA,"social class and mental illness",0,0
"4",14914,NA,"emotional and behavioural difficulties in children referred to an early intervention program following child sexual abuse",0,0
"5",14868,NA,"stata statistical software: release 13",0,0
"6",13666,NA,"stress, resilience and responding to civil defence emergencies and natural disasters: an ecological approach",0,0
"7",13700,NA,"training resilience for high-risk environments: towards a strength-based approach within the military",0,0
"8",13712,NA,"commentaries",0,0
"9",13725,NA,"longitudinal ethnography: uncovering domestic abuse in low-income women's lives",0,0
"10",13746,NA,"twenty-first century public health practice: preventing mental illness and promoting mental health",0,0
"11",13749,NA,"crisis intervention",0,0
"12",719,NA,"psycho-oncology in underserved and minority populations",0,0
"13",13787,NA,"prevention and treatment interventions for traumatized children: restoring children's capacities for self-regulation",0,0
"14",14787,NA,"methodological challenges in studying the mental health consequences of disasters",0,0
"15",13802,NA,"traumatic stress in overview: definition, context, scope, and long-term outcomes",0,0
"16",13872,NA,"communication in military families across the deployment cycle",0,0
"17",14913,NA,"promoting ‘‘resilient’’ posttraumatic adjustment in childhood and beyond: ‘‘unpacking’’ life events, adjustment trajectories, resources and interventions",0,0
"18",13890,NA,"enhancing community resilience: a matter of multi-level framework, mixed methods, and multi-sectoral tools",0,0
"19",13900,NA,"posttraumatic stress in the aftermath of mass shootings",0,0
"20",13906,NA,"when multiple disasters strike: louisiana fishers in the aftermath of hurricanes and the british petroleum deepwater horizon oil spill",0,0
"21",14397,NA,"combat/operational stress adaptations and injuries",0,0
"22",14798,NA,"the experience of disaster: trauma, loss, adversities, and community effects",0,0
"23",13975,NA,"sociological insights on the role of social capital in disaster resilience",0,0
"24",13989,NA,"pathological modes of remembering: the ptsd experience",0,0
"25",14920,NA,"children and young people: the neglected victims of road traffic accidents",0,0
"26",918,NA,"pharmacotherapy of ptsd",0,0
"27",12277,NA,"temperature, stress, disorder and crystallization effects in laser diodes: measurements and impacts",0,0
"28",1877,NA,"acute post-rape plasma cortisol, alcohol use, and ptsd symptom profile among recent rape victims",0,0
"29",14645,NA,"association for the advancement of automotive medicine",0,0
"30",14764,NA,"the icd-10 classification of mental and behavioural disorders: diagnostic criteria for research",0,0
"31",14694,NA,"diagnostic and statistical manual of mental disorders (4th ed tr.)",0,0
"32",14816,NA,"physical health status of world trade center rescue and recovery workers and volunteers - new york city, july 2002-august 2004",0,0
"33",10247,NA,"erratum: peripheral blood mononuclear cell gene expression profiles identify emergent post-traumatic stress disorder among trauma survivors (molecular psychiatry (february 1, 2005) 10 (500-513) doi:10.1038/sj.mp.4001636)",0,0
"34",2656,NA,"erratum: posttraumatic stress after a motor vehicle accident: a six-month follow-up study utilizing latent growth modeling (journal of traumatic streaa (2006) 19, (923-936))",0,0
"35",94,NA,"wagner's migraine and other stories",0,0
"36",14367,NA,"binary partitioning for continuous longitudinal data: categorizing a prognostic variable",0,0
"37",14680,NA,"neuropsychiatric complications in victims of boston's coconut grove disaster",0,0
"38",14240,NA,"u.s. soldier peacekeeping experiences and wellbeing after returning from deployment to kosovo",0,0
"39",14241,NA,"a group randomized trial of critical incident stress debriefing provided to u.s. peacekeepers",0,0
"40",14448,NA,"combat exposure and posttraumatic stress symptomatology among u.s. soldiers deployed to the gulf war",1,0
"41",14728,NA,"war-related trauma and symptoms of posttraumatic stress disorder among adult kosovar refugees",0,0
"42",14116,NA,"factor analysis and aic",0,0
"43",14845,NA,"family functioning and posttraumatic stress disorder in adolescent survivors of childhood cancer",0,0
"44",14873,NA,"risk and resilience in canine search and rescue handlers after 9/11",0,0
"45",12271,NA,"cross-validation of a posttraumatic stress disorder subscale and cluster-analysis of the mmpi profiles of a large sample of treatment-seeking combat veterans",0,0
