"","title","abstract","id","included_ats","included_final"
"1","a clinical approach to the pharmacotherapy of aggression in children and adolescents","Overt aggression in its various forms is the most prevalent symptom presenting to pediatric mental health providers, regardless of setting. It is a behavior with a heterogeneous etiology and requires a comprehensive approach to evaluation and treatment. Evaluation of the aggressive child must assess medical, neurologic, psychiatric, psychosocial, familial, and/or educational contributions to behavioral dyscontrol. Multimodal treatment is generally required. At present, there is no single medication to recommend for the treatment of aggressive behavior. Multiple medications have clinically been used in a nonspecific fashion to target excessive childhood aggression. Although successful for some, this approach increases risk for ineffective interventions accompanied by side effects. Until a scientific understanding of the developmental neurobiology of aggression leads to more specific treatment, this review suggests the use of a diagnostic-based approach to the pharmacology of aggression. Descriptive diagnostic techniques should be used to define the presence of any primary or comorbid psychiatric disorder that presents with aggression as an associated symptom. Treating aggression in the context of these psychiatric syndromes appears to be the most direct approach. Aggression occurring in the context of a medication-responsive psychiatric diagnosis appears most sensitive to pharmacologic intervention. Presently, evidence for efficacy is strongest for aggression in the context of ADHD, psychotic disorder, adolescent-onset bipolar disorder, and ictal aggression. It remains less clear that medication can help aggression when it occurs independently of a pharmacologically treatable comorbid psychiatric disorder. Aggression may respond to a target symptom approach where discrete behavioral symptoms that contribute to aggression, such as irritability, explosiveness, fear, or impulsivity, may be modified by medication intervention. When treatment is approached in this fashion, it is standard practice to use the least toxic and safest intervention first. Behavioral treatment based on contingency management principles could be initially recommended. Medication trials should first use medications that have demonstrated empiric efficacy in reducing aggression and that have a favorable safety profile. Neuroleptics to treat aggression in nonpsychotic psychiatrically referred youth should be kept to a minimum, secondary to their significant adverse risk profile. Alternative medications, such as selective serotonin reuptake-inhibiting antidepressants, buspirone, lithium, anticonvulsants, opiate blocking agents, propranolol, nadolol, and clonidine, deserve more clinical research in pediatric aggression. These medications may offer effective and less toxic alternatives in the pharmacologic treatment of inappropriate excessive childhood aggression.",3502,0,0
"2","acute post-rape plasma cortisol, alcohol use, and ptsd symptom profile among recent rape victims",NA,1877,0,0
"3",NA,NA,14117,0,0
"4",NA,NA,14318,0,0
"5","hypnotizability, pain threshold, and dissociative experiences","Background: There may be an association between pain threshold, hypnotizability, and dissociative experiences. The purpose of the present study was to examine this association. Methods: Forty-one healthy subjects were included in the study. Pain thresholds were determined using a manual algometer. The Dissociative Experiences Scale was administered to all subjects. Hypnotizability of the subjects was assessed by the eye roll sign of the Hypnotic Induction Profile. There were 14, 15, and 12 subjects in the Grade 1, 2, and 3 groups, respectively. Results: Highly hypnotizable subjects had lower pain thresholds and were more likely to report dissociative experiences than the less hypnotizable subjects. Conclusions: There is an association between pain threshold, hypnotizability, and dissociative experiences. It may be suggested that dissociative and somatic symptoms may be integrally linked and related to hypnotic suggestibility.",3465,0,0
"6","hypnotizability, pain threshold, and dissociative experiences","Background: There may be an association between pain threshold, hypnotizability, and dissociative experiences. The purpose of the present study was to examine this association. Methods: Forty-one healthy subjects were included in the study. Pain thresholds were determined using a manual algometer. The Dissociative Experiences Scale was administered to all subjects. Hypnotizability of the subjects was assessed by the eye roll sign of the Hypnotic Induction Profile. There were 14, 15, and 12 subjects in the Grade 1, 2, and 3 groups, respectively. Results: Highly hypnotizable subjects had lower pain thresholds and were more likely to report dissociative experiences than the less hypnotizable subjects. Conclusions: There is an association between pain threshold, hypnotizability, and dissociative experiences. It may be suggested that dissociative and somatic symptoms may be integrally linked and related to hypnotic suggestibility.",10725,0,0
"7",NA,NA,14100,0,0
"8","associations between dimensions of anxiety sensitivity and ptsd symptom clusters in active-duty police officers","Prior studies have shown that anxiety sensitivity (AS) plays an important role in posttraumatic stress disorder (PTSD) symptom severity. The purpose of this study was to evaluate associations between empirically supported PTSD symptom clusters (i.e. reexperiencing, avoidance, numbing, hyperarousal) and AS dimensions (i.e. psychological concerns, social concerns, somatic concerns). Participants were 138 active-duty police officers (70.7% female; mean age = 38.9 years; mean time policing = 173.8 months) who, as a part of a larger study, completed measures of trauma exposure, PTSD symptoms, AS, and depressive symptoms. All participants reported experiencing at least one event that they perceived as traumatic, and 44 (31.9%) screened positive for PTSD. Officers with probable PTSD scored significantly higher on AS total as well as the somatic and psychological concerns dimensional scores than did those without PTSD. As well, a higher percentage of officers with probable PTSD scored positively on the AS-derived Brief Screen for Panic Disorder (Apfeldorf et al., 1994) compared with those without PTSD. A series of regression analyses revealed that depressive symptoms, number of reported traumas, and AS somatic concerns were significant predictors of PTSD total symptom severity as well as severity of reexperiencing. Avoidance was predicted by depressive symptoms and AS somatic concerns. Only depressive symptoms were significantly predictive of numbing and hyperarousal cluster scores. These findings contribute to understanding the nature of association between AS and PTSD symptom clusters. Implications for the treatment of individuals having PTSD with and without panic-related symptomatology are discussed.",5952,0,0
"9","associations between dimensions of anxiety sensitivity and ptsd symptom clusters in active-duty police officers","Prior studies have shown that anxiety sensitivity (AS) plays an important role in posttraumatic stress disorder (PTSD) symptom severity. The purpose of this study was to evaluate associations between empirically supported PTSD symptom clusters (i.e. reexperiencing, avoidance, numbing, hyperarousal) and AS dimensions (i.e. psychological concerns, social concerns, somatic concerns). Participants were 138 active-duty police officers (70.7% female; mean age = 38.9 years; mean time policing = 173.8 months) who, as a part of a larger study, completed measures of trauma exposure, PTSD symptoms, AS, and depressive symptoms. All participants reported experiencing at least one event that they perceived as traumatic, and 44 (31.9%) screened positive for PTSD. Officers with probable PTSD scored significantly higher on AS total as well as the somatic and psychological concerns dimensional scores than did those without PTSD. As well, a higher percentage of officers with probable PTSD scored positively on the AS-derived Brief Screen for Panic Disorder (Apfeldorf et al., 1994) compared with those without PTSD. A series of regression analyses revealed that depressive symptoms, number of reported traumas, and AS somatic concerns were significant predictors of PTSD total symptom severity as well as severity of reexperiencing. Avoidance was predicted by depressive symptoms and AS somatic concerns. Only depressive symptoms were significantly predictive of numbing and hyperarousal cluster scores. These findings contribute to understanding the nature of association between AS and PTSD symptom clusters. Implications for the treatment of individuals having PTSD with and without panic-related symptomatology are discussed.",1590,0,0
"10",NA,NA,14580,0,0
"11","gender differences in a clinical sample of patients with borderline personality disorder","The aim of the study was to investigate gender differences and similarities in patients with borderline personality disorder (BPD) with respect to Axis I comorbidity, Axis II comorbidity, general psychopathology (Symptom Checklist 90-Revised), and dimensional personality traits (NEO-Personality-Inventory Revised [NEO-PI-R] and the Dimensional Assessment of Personality Profile Basic questionnaire [DAPP-BQ]). Fifty-seven men and 114 women with BPD were included in the study. Regarding Axis I and II disorders in an exploratory analysis, men with BPD more often fulfilled the diagnostic criteria for binge eating disorder, antisocial personality disorder, narcissistic personality disorder, and conduct disorder in childhood, whereas women had higher frequencies of bulimia nervosa, posttraumatic stress disorder, and panic disorder with agoraphobia. After correcting for multiple tests, only the gender differences in narcissistic and antisocial personality disorder remained significant. In the SCL-90-R profile, no significant gender differences could be identified. In the exploratory analysis of the dimensional personality traits, women showed higher rates on the NEO-PI-R main factors (Neuroticism and Agreeableness) compared to men. In the DAPP-BQ profile, men reached higher sores on the main factor, Dissocial Behavior. When correcting for multiple tests, gender differences still existed for Neuroticism and Dissocial Behavior. Our results argue for gender differences in Axis I and II comorbidity and dimensional personality traits in BPD. However, in general, more similarities than differences were shown in this study.",4019,0,0
